Kanji,Reading,API Call,Meanings
会う,あう,https://jisho.org/api/v1/search/words?keyword=会う,['to meet']
青,あお,https://jisho.org/api/v1/search/words?keyword=青,['blue']
青い,あおい,https://jisho.org/api/v1/search/words?keyword=青い,['blue']
赤,あか,https://jisho.org/api/v1/search/words?keyword=赤,['red']
赤い,あかい,https://jisho.org/api/v1/search/words?keyword=赤い,['red']
明い,あかるい,https://jisho.org/api/v1/search/words?keyword=明い,['bright']
秋,あき,https://jisho.org/api/v1/search/words?keyword=秋,['autumn']
開く,あく,https://jisho.org/api/v1/search/words?keyword=開く,"['to open', 'to become open']"
開ける,あける,https://jisho.org/api/v1/search/words?keyword=開ける,['to open']
上げる,あげる,https://jisho.org/api/v1/search/words?keyword=上げる,['to give']
朝,あさ,https://jisho.org/api/v1/search/words?keyword=朝,['morning']
朝御飯,あさごはん,https://jisho.org/api/v1/search/words?keyword=朝御飯,['breakfast']
あさって,あさって,https://jisho.org/api/v1/search/words?keyword=あさって,['day after tomorrow']
足,あし,https://jisho.org/api/v1/search/words?keyword=足,"['foot', 'leg']"
明日,あした,https://jisho.org/api/v1/search/words?keyword=明日,['tomorrow']
あそこ,あそこ,https://jisho.org/api/v1/search/words?keyword=あそこ,['over there']
遊ぶ,あそぶ,https://jisho.org/api/v1/search/words?keyword=遊ぶ,"['to play', 'to make a visit']"
暖かい,あたたかい,https://jisho.org/api/v1/search/words?keyword=暖かい,['warm']
頭,あたま,https://jisho.org/api/v1/search/words?keyword=頭,['head']
新しい,あたらしい,https://jisho.org/api/v1/search/words?keyword=新しい,['new']
あちら,あちら,https://jisho.org/api/v1/search/words?keyword=あちら,['there']
暑い,あつい,https://jisho.org/api/v1/search/words?keyword=暑い,['hot']
熱い,あつい,https://jisho.org/api/v1/search/words?keyword=熱い,['hot to the touch']
厚い,あつい,https://jisho.org/api/v1/search/words?keyword=厚い,"['kind', 'deep', 'thick']"
あっち,あっち,https://jisho.org/api/v1/search/words?keyword=あっち,['over there']
後,あと,https://jisho.org/api/v1/search/words?keyword=後,['afterwards']
あなた,あなた,https://jisho.org/api/v1/search/words?keyword=あなた,['you']
兄,あに,https://jisho.org/api/v1/search/words?keyword=兄,['older brother']
姉,あね,https://jisho.org/api/v1/search/words?keyword=姉,['older sister']
